id,timestamp,aqi,pm2_5,pm10,co,no2,o3,so2,hour,day,weekday,anomaly
1,2026-07-17 14:54:48,4,64.12,66.66,508.77,3.62,129.69,4.91,14,17,Friday,1
2,2026-07-17 14:55:44,4,64.12,66.66,508.77,3.62,129.69,4.91,14,17,Friday,1
3,2026-07-17 15:00:02,4,64.12,66.66,508.77,3.62,129.69,4.91,15,17,Friday,1
4,2026-07-17 16:03:49,4,71.83,75.19,522.48,4.51,134.23,5.2,16,17,Friday,1
5,2026-07-17 18:39:46,5,80.25,88.38,734.61,17.07,89.47,7.83,18,17,Friday,-1
6,2026-07-17 18:39:50,5,80.25,88.38,734.61,17.07,89.47,7.83,18,17,Friday,-1
7,2026-07-17 20:08:18,4,66.21,77.92,819.3,20.94,62.39,6.56,20,17,Friday,1
8,2026-07-18 09:56:47,3,41.27,45.42,683.29,12.6,49.52,6.05,9,18,Saturday,1
9,2026-07-18 09:56:48,3,41.27,45.42,683.29,12.6,49.52,6.05,9,18,Saturday,1
10,2026-07-18 10:03:49,3,41.27,45.42,683.29,12.6,49.52,6.05,10,18,Saturday,1
11,2026-07-18 13:03:50,3,42.93,48.56,682.93,14.68,57.11,7.09,13,18,Saturday,1
12,2026-07-18 14:09:02,3,43.57,50.17,730.48,18.36,55.6,8.16,14,18,Saturday,1
13,2026-07-18 14:09:41,3,43.57,50.17,730.48,18.36,55.6,8.16,14,18,Saturday,1
14,2026-07-18 14:10:29,3,43.57,50.17,730.48,18.36,55.6,8.16,14,18,Saturday,1
15,2026-07-18 15:03:45,3,42.15,49.58,769.13,22.52,53.95,9.41,15,18,Saturday,1
16,2026-07-18 18:03:48,3,40.41,47.54,836.08,25.09,42.5,9.47,18,18,Saturday,1
17,2026-07-18 21:03:49,3,29.79,33.58,705.69,17.52,35.34,5.73,21,18,Saturday,1
18,2026-07-18 22:03:44,3,33.66,37.27,736.02,17.16,35.74,5.58,22,18,Saturday,1
19,2026-07-18 23:03:47,3,37.82,41.02,765.27,16.59,36.64,5.25,23,18,Saturday,1
20,2026-07-19 11:03:47,3,29.91,33.35,654.1,16.14,14.47,5.1,11,19,Sunday,1
21,2026-07-19 13:03:49,3,31.92,35.29,676.04,16.98,15.18,5.55,13,19,Sunday,1
22,2026-07-19 14:03:46,3,32.35,35.42,671.87,17.03,17.41,5.62,14,19,Sunday,1
23,2026-07-19 15:46:23,3,33.23,35.75,644.8,15.67,25.74,5.35,15,19,Sunday,1
24,2026-07-19 16:03:49,3,33.23,35.75,644.8,15.67,25.74,5.35,16,19,Sunday,1
25,2026-07-19 16:51:32,3,34.73,37.13,630.63,15.85,29.94,5.18,16,19,Sunday,1
26,2026-07-19 17:03:43,3,34.73,37.13,630.63,15.85,29.94,5.18,17,19,Sunday,1
27,2026-07-19 18:13:33,3,36.51,38.9,628.47,16.58,31.83,5.15,18,19,Sunday,1
28,2026-07-19 20:03:46,3,30.59,33.44,681.87,19.18,24.45,5.71,20,19,Sunday,1
29,2026-07-19 21:03:47,3,32.74,36.08,712.52,20.35,21.01,5.84,21,19,Sunday,1
30,2026-07-19 22:03:44,3,34.22,37.64,742.1,21.56,17.35,6.06,22,19,Sunday,1
31,2026-07-19 23:03:53,3,35.85,39.17,783.03,23.22,13.85,5.98,23,19,Sunday,1
32,2026-07-20 00:03:44,3,37.39,40.21,817.88,24.69,10.93,5.59,0,20,Monday,1
33,2026-07-20 01:03:47,3,38.24,40.43,835.22,25.39,8.89,5.11,1,20,Monday,1
34,2026-07-20 02:03:45,3,39.17,41.06,839.8,25.68,7.79,4.95,2,20,Monday,1
35,2026-07-20 03:04:33,3,39.19,40.83,827.76,25.41,7.39,4.86,3,20,Monday,1
36,2026-07-20 12:35:26,3,34.99,38.9,797.93,18.72,15.35,7.09,12,20,Monday,1
37,2026-07-20 13:03:47,3,34.99,38.9,797.93,18.72,15.35,7.09,13,20,Monday,1
38,2026-07-20 14:03:43,3,33.7,37.45,797.21,19.71,17.45,6.97,14,20,Monday,1
39,2026-07-20 15:03:43,3,32.5,36.22,797.51,20.41,18.72,7.03,15,20,Monday,1
40,2026-07-20 17:21:00,3,32.77,36.35,809.99,27.76,13.63,7.63,17,20,Monday,1
41,2026-07-20 17:21:34,3,32.77,36.35,809.99,27.76,13.63,7.63,17,20,Monday,1
42,2026-07-20 17:24:42,3,32.77,36.35,809.99,27.76,13.63,7.63,17,20,Monday,1
43,2026-07-20 18:03:45,3,32.77,36.35,809.99,27.76,13.63,7.63,18,20,Monday,1
44,2026-07-20 20:03:47,3,32.66,37.16,881.51,30.13,2.67,7.53,20,20,Monday,1
45,2026-07-20 21:03:44,3,32.91,37.54,873.21,29.75,3.35,7.16,21,20,Monday,1
46,2026-07-20 22:03:47,3,32.28,36.53,849.8,28.9,4.24,6.96,22,20,Monday,1
47,2026-07-20 23:03:45,3,31.84,35.31,832.03,28.29,4.79,6.57,23,20,Monday,1
48,2026-07-21 10:03:48,2,22.79,25.47,530.5,13.97,23.61,5.68,10,21,Tuesday,1
49,2026-07-21 11:03:45,2,24.55,27.42,522.26,11.9,36.71,6.23,11,21,Tuesday,1
50,2026-07-21 16:12:05,4,66.86,69.26,495.51,7.07,124.61,6.47,16,21,Tuesday,1
51,2026-07-21 19:03:48,4,72.06,75.11,612.66,12.75,93.63,6.95,19,21,Tuesday,1
52,2026-07-21 20:03:45,2,18.75,21.37,336.69,8.21,65.05,5.3,20,21,Tuesday,1
53,2026-07-21 21:03:44,2,19.76,22.95,365.59,9.54,59.82,6.15,21,21,Tuesday,1
54,2026-07-21 22:03:45,2,21.24,25.38,387.98,10.46,56.38,6.75,22,21,Tuesday,1
55,2026-07-21 23:03:46,2,22.69,27.86,405.92,10.98,53.78,7.4,23,21,Tuesday,1
56,2026-07-22 10:03:48,2,23.22,25.64,442.43,9.21,47.77,5.51,10,22,Wednesday,1
57,2026-07-22 18:24:38,2,19.39,21.07,376.8,11.1,55.27,4.62,18,22,Wednesday,1
58,2026-07-22 19:03:47,2,19.39,21.07,376.8,11.1,55.27,4.62,19,22,Wednesday,1
59,2026-07-22 19:24:17,3,28.7,31.18,378.45,10.01,73.74,5.84,19,22,Wednesday,1
60,2026-07-22 20:03:43,3,27.18,30.05,388.22,10.71,66.17,5.94,20,22,Wednesday,1
61,2026-07-22 20:24:18,3,27.65,30.71,400.77,10.9,62.05,5.97,20,22,Wednesday,1
